'neuron', 'neuron', 'delay', 'correlation coefficient'
237, 242, 1, 1.0
236, 244, -2, 1.0
224, 234, -1, 1.0
220, 225, 1, 1.0
214, 234, -1, 1.0
214, 224, 0, 1.0
212, 253, -3, 1.0
198, 242, -1, 1.0
198, 237, -2, 1.0
197, 258, 3, 1.0
191, 236, -3, 1.0
191, 208, 2, 1.0
188, 242, -2, 1.0
188, 237, -3, 1.0
188, 198, -1, 1.0
187, 234, 0, 1.0
187, 224, 1, 1.0
187, 214, 1, 1.0
185, 258, 0, 1.0
185, 197, -3, 1.0
180, 191, 3, 1.0
177, 244, -2, 1.0
164, 244, -3, 1.0
163, 242, -3, 1.0
163, 198, -2, 1.0
163, 188, -1, 1.0
162, 242, -2, 1.0
162, 237, -3, 1.0
162, 198, -1, 1.0
162, 188, 0, 1.0
162, 163, 1, 1.0
155, 242, 1, 1.0
155, 237, 0, 1.0
155, 198, 2, 1.0
155, 188, 3, 1.0
155, 162, 3, 1.0
139, 258, 0, 1.0
139, 197, -3, 1.0
139, 185, 0, 1.0
135, 242, 1, 1.0
135, 237, 0, 1.0
135, 198, 2, 1.0
135, 188, 3, 1.0
135, 162, 3, 1.0
135, 155, 0, 1.0
133, 242, -2, 1.0
133, 237, -3, 1.0
133, 198, -1, 1.0
133, 188, 0, 1.0
133, 163, 1, 1.0
133, 162, 0, 1.0
133, 155, -3, 1.0
133, 135, -3, 1.0
128, 164, -2, 1.0
125, 234, 0, 1.0
125, 224, 1, 1.0
125, 214, 1, 1.0
125, 187, 0, 1.0
110, 301, -3, 1.0
110, 258, 1, 1.0
110, 197, -2, 1.0
110, 185, 1, 1.0
110, 139, 1, 1.0
105, 236, -3, 1.0
105, 208, 2, 1.0
105, 191, 0, 1.0
105, 180, -3, 1.0
102, 111, -2, 1.0
101, 301, -3, 1.0
101, 258, 1, 1.0
101, 197, -2, 1.0
101, 185, 1, 1.0
101, 139, 1, 1.0
101, 110, 0, 1.0
97, 242, -1, 1.0
97, 237, -2, 1.0
