'neuron', 'neuron', 'delay', 'correlation coefficient'
127, 169, -3, -0.94146887169127225
16, 78, -3, -0.91079385952335823
54, 78, -3, -0.91079385952335823
64, 106, 2, -0.90453403373329089
127, 155, -3, -0.90147299607562448
86, 169, -2, -0.8762302154233782
13, 180, -2, -0.8682431421244593
45, 106, 1, -0.85951770521566129
16, 154, 0, -0.85714285714285721
54, 154, 0, -0.85714285714285721
46, 78, -2, -0.8549851106205143
42, 78, -3, -0.8547733694797468
40, 106, 0, -0.84852813742385691
127, 196, 3, -0.84515425472851646
46, 154, 0, -0.83522910360115721
35, 107, -1, -0.83452296039628027
13, 75, 0, -0.82951506200625313
168, 196, 3, -0.8281766860861417
71, 106, 0, -0.82219219164377844
42, 154, 0, -0.82158383625774911
78, 106, 2, -0.82076773429495486
78, 112, 3, -0.82073956364963452
78, 163, 3, -0.82073956364963452
66, 141, 2, -0.81609195402298851
29, 45, 2, -0.81434507104595533
64, 229, -3, -0.81242074845948675
112, 154, 0, -0.81223673075485214
154, 163, 0, -0.81223673075485214
32, 45, -3, -0.81114745823738788
95, 196, 3, -0.80437283368926582
13, 31, 1, -0.80314223720554034
13, 64, -2, -0.80064076902543568
13, 40, 0, -0.8001322641986387
70, 86, 2, -0.79874213836477992
13, 78, -3, -0.79452054794520555
32, 50, -3, -0.79410138831598376
1, 106, -1, -0.79325614977063774
46, 75, 1, -0.79325614977063763
1, 106, 0, -0.78970650474487258
154, 187, 0, -0.78935221737632622
33, 107, 3, -0.78920518725247013
46, 86, 2, -0.78907636476703724
70, 127, 3, -0.78858430352230302
22, 84, -1, -0.78633298241180882
32, 64, -3, -0.78498706411733721
15, 46, 3, -0.78446454055273618
17, 21, -1, -0.78334945180064031
41, 161, -3, -0.7833494518006402
70, 154, 0, -0.7827936876641306
29, 127, 2, -0.78001349515990992
17, 33, 0, -0.7768985960673559
15, 32, 3, -0.77588017744445803
86, 112, -2, -0.77504570081473145
86, 163, -2, -0.77504570081473145
17, 19, 1, -0.77151674981045937
70, 78, -3, -0.76940010178973262
48, 196, 3, -0.7694001017897325
78, 106, 3, -0.7694001017897325
58, 154, 0, -0.7693804707196773
154, 170, 0, -0.7693804707196773
32, 40, -2, -0.76910310850990038
13, 45, -1, -0.76834981992783247
168, 169, -2, -0.76794764778830449
168, 169, -3, -0.7674257668936505
17, 229, 1, -0.76603234628542649
32, 78, -3, -0.76498857770800555
1, 15, 3, -0.76376261582597338
15, 21, -3, -0.76376261582597338
75, 97, -3, -0.76376261582597316
41, 95, -3, -0.76076745677484869
46, 154, 1, -0.76073872272635046
33, 64, 3, -0.75684479215283451
106, 229, 3, -0.75592894601845451
29, 40, 3, -0.7559289460184544
32, 180, -2, -0.75570865490317829
33, 78, 3, -0.75567042975657583
46, 78, -3, -0.75538111721465995
13, 86, 1, -0.75439657253961889
31, 130, -1, -0.75277265270908089
33, 52, 3, -0.75247762128379281
13, 52, -3, -0.74963669075062744
