'neuron', 'neuron', 'delay', 'correlation coefficient'
26, 234, -3, -1.0
50, 234, -2, -1.0
26, 56, -3, -0.93632917756904455
61, 65, 0, -0.92847669088525941
65, 214, -1, -0.88897455642660272
67, 121, -3, -0.88526778974563869
1, 61, 2, -0.87831006565367986
4, 225, -3, -0.87499999999999989
26, 234, -2, -0.8703882797784892
50, 234, -3, -0.86602540378443849
1, 61, 3, -0.86602540378443837
26, 190, 1, -0.85933784884731945
50, 190, 2, -0.8563488385776753
154, 234, -3, -0.85349181358819648
1, 50, -1, -0.85305663804089094
1, 50, 0, -0.85039494664351589
64, 234, -2, -0.84327404271156781
56, 64, 3, -0.8388845580223987
64, 234, -3, -0.83874213682932519
121, 160, 3, -0.83761059683861416
67, 225, 3, -0.83333333333333337
64, 65, 2, -0.83261980179284445
67, 121, -2, -0.82495791138430552
139, 160, -3, -0.82142857142857173
154, 168, -1, -0.81875522032126524
67, 139, 3, -0.81831708838497152
50, 56, -2, -0.81649658092772603
4, 64, -1, -0.81626473928157606
4, 140, 1, -0.81626473928157606
4, 160, 1, -0.81578750864380056
4, 225, -2, -0.81434507104595533
50, 56, -3, -0.81088485407938271
103, 160, 2, -0.80757285308724824
1, 26, -1, -0.8074061938731717
66, 152, -3, -0.80678429638962401
4, 6, 1, -0.80605790870840921
12, 139, 3, -0.80347947596231906
1, 26, 0, -0.8029550685469663
4, 95, 1, -0.80257235390512793
1, 139, -2, -0.80178372573727319
12, 65, 0, -0.8009692404443074
56, 154, 3, -0.79914928787894823
154, 234, -2, -0.79889200661193138
67, 225, 2, -0.79681907288959575
1, 214, 2, -0.79090575601244495
139, 234, 0, -0.79056941504209477
121, 205, 3, -0.78920518725247035
1, 140, 2, -0.78835612279228606
65, 140, 1, -0.78779619655209776
103, 140, 2, -0.78645618058679512
65, 214, 0, -0.78570290017330113
1, 6, 2, -0.78555331906498693
57, 205, 3, -0.78446454055273607
36, 67, 1, -0.78399358209432457
139, 234, -1, -0.78334945180064031
56, 103, -3, -0.78178760572492856
21, 173, 2, -0.78062563507215166
1, 26, 1, -0.7774332869920545
4, 12, 1, -0.77605329138532542
4, 12, 2, -0.77588935739426201
122, 214, 3, -0.77466989291884514
45, 234, -2, -0.7745966692414834
56, 64, 2, -0.7745966692414834
214, 234, -3, -0.77302068252392553
77, 103, -1, -0.77183425795774152
205, 225, 1, -0.77151674981045948
26, 56, -2, -0.76752257888019748
26, 88, -2, -0.76752257888019748
205, 225, 2, -0.76447078715643835
154, 205, -1, -0.76440838263234401
