'neuron', 'neuron', 'delay', 'correlation coefficient'
11, 71, 3, -0.93494699000845705
71, 89, -3, -0.93494699000845705
64, 179, 2, -0.86640022544396345
6, 71, 3, -0.85556361130926772
16, 71, 3, -0.84790029557879265
60, 71, 3, -0.84790029557879265
71, 123, -3, -0.84790029557879265
2, 71, 2, -0.84680979843994098
71, 225, -3, -0.84122606374421149
38, 71, 3, -0.84067280747670747
26, 88, 2, -0.83724122107262777
34, 141, 1, -0.8309293547300074
26, 56, 2, -0.82922018309634105
71, 157, -3, -0.82783735438471584
34, 121, -3, -0.82158383625774922
32, 71, 3, -0.81418824879279084
103, 162, -3, -0.81114745823738788
34, 141, 2, -0.80873608430318855
121, 162, 2, -0.80757285308724824
60, 71, 2, -0.80157973147939743
88, 225, 3, -0.80009469136566269
121, 162, 3, -0.79056941504209488
73, 187, -1, -0.7833494518006402
21, 34, -1, -0.78156469565479736
34, 187, -3, -0.7745966692414834
71, 88, -2, -0.7738041370206814
71, 84, -3, -0.7718927553490097
6, 187, 3, -0.77085434286280552
71, 88, -1, -0.77083333333333337
6, 26, 1, -0.76834981992783258
2, 71, 3, -0.76742576689365072
71, 103, -3, -0.76742576689365072
71, 73, 1, -0.76603234628542649
64, 88, 2, -0.76447078715643835
58, 162, -3, -0.76376261582597327
34, 58, 3, -0.76000650662339087
71, 176, -3, -0.76000650662339087
34, 141, 3, -0.75961538461538447
64, 88, 3, -0.7559289460184544
34, 52, 1, -0.74776902117976563
39, 121, 0, -0.746830486507854
58, 187, 2, -0.74672865663234367
21, 34, -2, -0.7453559924999299
16, 47, -2, -0.74437783460802864
47, 123, 2, -0.74437783460802864
71, 103, -2, -0.74095857363494833
47, 225, 3, -0.7385489458759964
34, 52, 0, -0.73653259923748327
47, 176, 2, -0.73333333333333328
71, 240, -3, -0.73076923076923128
65, 141, 3, -0.73076923076923084
52, 73, -3, -0.73076923076923073
65, 141, 2, -0.72972972972972971
64, 71, -1, -0.7289455447033456
26, 84, -1, -0.72804400754561327
26, 225, -1, -0.72804400754561316
21, 187, 2, -0.72586618631129773
26, 47, 2, -0.72586618631129773
47, 84, 1, -0.72420682437790163
26, 58, 1, -0.72283587910813929
34, 179, 3, -0.71976257290223411
26, 179, 2, -0.71957488730025843
64, 179, 3, -0.71780491948650249
26, 103, 1, -0.71576353988792973
32, 47, -2, -0.71524747281512369
26, 103, 0, -0.71443450831176036
71, 73, 2, -0.70929936561519058
26, 176, -1, -0.70781668833513278
38, 121, 2, -0.70710678118654746
56, 121, 0, -0.70606308057163902
47, 122, 3, -0.70436072506049918
2, 64, -2, -0.70290194639441661
162, 179, 3, -0.70133438436967221
26, 225, 0, -0.70116737497714632
47, 60, 2, -0.70064904974537068
60, 64, -1, -0.70023483212137794
56, 121, 1, -0.6978603023791089
