'neuron', 'neuron', 'delay', 'correlation coefficient'
358, 387, 3, 1.0
327, 387, -1, 1.0
324, 387, -1, 1.0
324, 327, 0, 1.0
315, 373, 1, 1.0
259, 285, 2, 1.0
258, 327, 2, 1.0
258, 324, 2, 1.0
257, 284, 3, 1.0
242, 255, -2, 1.0
239, 284, 2, 1.0
239, 257, -1, 1.0
237, 257, 2, 1.0
237, 239, 3, 1.0
227, 284, 2, 1.0
227, 257, -1, 1.0
227, 239, 0, 1.0
227, 237, -3, 1.0
214, 249, 2, 1.0
204, 327, 1, 1.0
204, 324, 1, 1.0
204, 258, -1, 1.0
198, 285, -1, 1.0
198, 259, -3, 1.0
197, 327, 2, 1.0
197, 324, 2, 1.0
197, 258, 0, 1.0
197, 204, 1, 1.0
191, 193, 3, 1.0
189, 223, 2, 1.0
188, 258, 3, 1.0
188, 197, 3, 1.0
188, 193, -3, 1.0
187, 191, 2, 1.0
186, 214, -2, 1.0
182, 184, -3, 1.0
175, 373, 3, 1.0
175, 223, 3, 1.0
175, 188, -3, 1.0
174, 327, 3, 1.0
174, 324, 3, 1.0
174, 258, 1, 1.0
174, 204, 2, 1.0
174, 197, 1, 1.0
173, 193, 0, 1.0
173, 191, -3, 1.0
173, 188, 3, 1.0
170, 225, 1, 1.0
167, 283, 2, 1.0
163, 285, -1, 1.0
163, 259, -3, 1.0
163, 198, 0, 1.0
162, 284, 0, 1.0
162, 257, -3, 1.0
162, 239, -2, 1.0
162, 227, -2, 1.0
156, 327, 1, 1.0
156, 324, 1, 1.0
154, 191, 2, 1.0
154, 187, 0, 1.0
151, 208, 1, 1.0
150, 182, -2, 1.0
143, 327, 1, 1.0
143, 324, 1, 1.0
143, 258, -1, 1.0
143, 204, 0, 1.0
143, 197, -1, 1.0
143, 174, -2, 1.0
135, 255, -2, 1.0
135, 242, 0, 1.0
134, 327, 2, 1.0
134, 324, 2, 1.0
134, 258, 0, 1.0
134, 204, 1, 1.0
134, 197, 0, 1.0
134, 188, -3, 1.0
134, 174, -1, 1.0
134, 143, 1, 1.0
133, 285, -1, 1.0
133, 259, -3, 1.0
133, 198, 0, 1.0
133, 163, 0, 1.0
129, 193, 1, 1.0
129, 191, -2, 1.0
129, 173, 1, 1.0
126, 373, 3, 1.0
126, 315, 2, 1.0
126, 223, 3, 1.0
126, 189, 1, 1.0
112, 234, 0, 1.0
111, 187, 2, 1.0
111, 154, 2, 1.0
107, 208, -2, 1.0
107, 151, -3, 1.0
105, 284, -2, 1.0
105, 258, 2, 1.0
105, 204, 3, 1.0
105, 198, -3, 1.0
105, 197, 2, 1.0
105, 188, -1, 1.0
105, 175, 2, 1.0
105, 163, -3, 1.0
105, 162, -2, 1.0
105, 143, 3, 1.0
105, 134, 2, 1.0
105, 133, -3, 1.0
100, 191, -3, 1.0
97, 285, -1, 1.0
97, 259, -3, 1.0
97, 198, 0, 1.0
97, 163, 0, 1.0
97, 133, 0, 1.0
97, 105, 3, 1.0
96, 285, -1, 1.0
96, 259, -3, 1.0
96, 198, 0, 1.0
96, 163, 0, 1.0
96, 133, 0, 1.0
96, 105, 3, 1.0
96, 97, 0, 1.0
95, 387, -1, 1.0
95, 327, 0, 1.0
95, 324, 0, 1.0
95, 258, -2, 1.0
95, 204, -1, 1.0
95, 197, -2, 1.0
95, 174, -3, 1.0
95, 156, -1, 1.0
95, 143, -1, 1.0
95, 134, -2, 1.0
89, 208, 0, 1.0
89, 151, -1, 1.0
89, 107, 2, 1.0
88, 182, -2, 1.0
88, 150, 0, 1.0
86, 284, 3, 1.0
86, 257, 0, 1.0
86, 239, 1, 1.0
86, 237, -2, 1.0
86, 227, 1, 1.0
86, 162, 3, 1.0
82, 208, 1, 1.0
82, 151, 0, 1.0
82, 107, 3, 1.0
82, 89, 1, 1.0
81, 284, 0, 1.0
81, 257, -3, 1.0
81, 239, -2, 1.0
81, 227, -2, 1.0
81, 162, 0, 1.0
81, 105, 2, 1.0
81, 86, -3, 1.0
79, 258, 2, 1.0
79, 204, 3, 1.0
79, 197, 2, 1.0
79, 175, 2, 1.0
79, 174, 1, 1.0
79, 143, 3, 1.0
79, 134, 2, 1.0
72, 208, -2, 1.0
72, 151, -3, 1.0
72, 89, -2, 1.0
72, 82, -3, 1.0
71, 387, -1, 1.0
71, 327, 0, 1.0
71, 324, 0, 1.0
71, 258, -2, 1.0
71, 204, -1, 1.0
71, 197, -2, 1.0
71, 174, -3, 1.0
71, 156, -1, 1.0
71, 143, -1, 1.0
71, 134, -2, 1.0
71, 95, 0, 1.0
65, 284, 0, 1.0
65, 257, -3, 1.0
65, 239, -2, 1.0
65, 227, -2, 1.0
65, 162, 0, 1.0
65, 105, 2, 1.0
65, 86, -3, 1.0
65, 81, 0, 1.0
61, 234, 0, 1.0
61, 112, 0, 1.0
57, 258, 3, 1.0
57, 197, 3, 1.0
57, 193, -3, 1.0
57, 188, 0, 1.0
57, 175, 3, 1.0
57, 173, -3, 1.0
57, 134, 3, 1.0
57, 105, 1, 1.0
55, 257, -2, 1.0
55, 239, -1, 1.0
55, 227, -1, 1.0
55, 86, -2, 1.0
52, 327, 3, 1.0
52, 324, 3, 1.0
52, 204, 2, 1.0
52, 143, 2, 1.0
52, 95, 3, 1.0
52, 71, 3, 1.0
51, 109, -3, 1.0
50, 327, 3, 1.0
50, 324, 3, 1.0
50, 204, 2, 1.0
50, 143, 2, 1.0
50, 95, 3, 1.0
50, 71, 3, 1.0
50, 52, 0, 1.0
43, 257, 3, 1.0
43, 86, 3, 1.0
39, 237, 3, 1.0
36, 387, -1, 1.0
36, 327, 0, 1.0
36, 324, 0, 1.0
36, 258, -2, 1.0
36, 204, -1, 1.0
36, 197, -2, 1.0
36, 174, -3, 1.0
36, 156, -1, 1.0
36, 143, -1, 1.0
36, 134, -2, 1.0
36, 95, 0, 1.0
36, 71, 0, 1.0
36, 52, -3, 1.0
36, 50, -3, 1.0
34, 285, -1, 1.0
34, 259, -3, 1.0
34, 198, 0, 1.0
34, 163, 0, 1.0
34, 133, 0, 1.0
34, 105, 3, 1.0
34, 97, 0, 1.0
34, 96, 0, 1.0
33, 381, -3, 1.0
31, 327, 3, 1.0
31, 324, 3, 1.0
31, 258, 1, 1.0
31, 204, 2, 1.0
31, 197, 1, 1.0
31, 174, 0, 1.0
31, 143, 2, 1.0
31, 134, 1, 1.0
31, 95, 3, 1.0
31, 79, -1, 1.0
31, 71, 3, 1.0
31, 36, 3, 1.0
30, 258, 2, 1.0
30, 204, 3, 1.0
30, 197, 2, 1.0
30, 175, 2, 1.0
30, 174, 1, 1.0
30, 143, 3, 1.0
30, 134, 2, 1.0
30, 79, 0, 1.0
30, 31, 1, 1.0
28, 327, 2, 1.0
28, 324, 2, 1.0
28, 156, 1, 1.0
28, 95, 2, 1.0
28, 71, 2, 1.0
28, 36, 2, 1.0
26, 259, -3, 1.0
24, 358, 2, 1.0
17, 285, -3, 1.0
17, 284, -1, 1.0
17, 258, 3, 1.0
17, 239, -3, 1.0
17, 227, -3, 1.0
17, 198, -2, 1.0
17, 197, 3, 1.0
17, 175, 3, 1.0
17, 163, -2, 1.0
17, 162, -1, 1.0
17, 150, -3, 1.0
17, 134, 3, 1.0
17, 133, -2, 1.0
17, 105, 1, 1.0
17, 97, -2, 1.0
17, 96, -2, 1.0
17, 88, -3, 1.0
17, 81, -1, 1.0
17, 65, -1, 1.0
17, 34, -2, 1.0
15, 234, -2, 1.0
15, 112, -2, 1.0
15, 61, -2, 1.0
10, 257, 2, 1.0
10, 239, 3, 1.0
10, 237, 0, 1.0
10, 227, 3, 1.0
10, 86, 2, 1.0
10, 39, -3, 1.0
5, 381, 2, 1.0
72, 141, 1, 0.96222247584602572
141, 296, 3, 0.96070037237395278
141, 208, -3, 0.96070037237395267
89, 141, 3, 0.96070037237395267
28, 258, 0, 0.95520089987608781
28, 197, 0, 0.95520089987608781
28, 134, 0, 0.95520089987608781
28, 174, -1, 0.95470326978246645
28, 31, -1, 0.95470326978246645
28, 105, -2, 0.95413004651266653
28, 79, -2, 0.95413004651266653
28, 30, -2, 0.95413004651266653
15, 141, 0, 0.95351412637107236
28, 188, -3, 0.95346258924559268
28, 57, -3, 0.95346258924559268
17, 28, 3, 0.95346258924559268
142, 240, 2, 0.95298273889348639
141, 234, -2, 0.95242414719932422
112, 141, 2, 0.95242414719932422
61, 141, 2, 0.95242414719932422
74, 102, 3, 0.95087365266509094
52, 174, 0, 0.94528533069948961
50, 174, 0, 0.94528533069948961
31, 52, 0, 0.94528533069948961
31, 50, 0, 0.94528533069948961
52, 79, -1, 0.94447298300375326
50, 79, -1, 0.94447298300375326
30, 52, 1, 0.94447298300375326
30, 50, 1, 0.94447298300375326
28, 52, -1, 0.94358490393299144
28, 50, -1, 0.94358490393299144
156, 204, 0, 0.94280904158206336
143, 156, 0, 0.94280904158206336
156, 258, -1, 0.94242129365631488
156, 197, -1, 0.94242129365631488
134, 156, 1, 0.94242129365631488
28, 204, 1, 0.94242129365631488
28, 143, 1, 0.94242129365631488
52, 79, 0, 0.94211670859689678
50, 79, 0, 0.94211670859689678
30, 52, 0, 0.94211670859689678
30, 50, 0, 0.94211670859689678
381, 398, -2, 0.94197873843413882
