'neuron', 'neuron', 'delay', 'correlation coefficient'
380, 386, 3, 1.0
380, 384, 3, 1.0
359, 386, -2, 1.0
346, 369, 0, 1.0
339, 393, 3, 1.0
337, 386, 3, 1.0
337, 384, 3, 1.0
337, 380, 0, 1.0
330, 369, -2, 1.0
330, 346, -2, 1.0
318, 386, 0, 1.0
318, 380, -3, 1.0
318, 359, 2, 1.0
318, 337, -3, 1.0
290, 369, 0, 1.0
290, 346, 0, 1.0
290, 330, 2, 1.0
278, 369, 0, 1.0
278, 346, 0, 1.0
278, 330, 2, 1.0
278, 290, 0, 1.0
264, 386, 3, 1.0
264, 384, 3, 1.0
264, 380, 0, 1.0
264, 337, 0, 1.0
264, 318, 3, 1.0
259, 270, 0, 1.0
254, 389, 2, 1.0
254, 359, -3, 1.0
251, 369, -3, 1.0
251, 346, -3, 1.0
251, 290, -3, 1.0
251, 278, -3, 1.0
241, 389, 2, 1.0
241, 359, -3, 1.0
241, 254, 0, 1.0
237, 330, -3, 1.0
236, 358, -3, 1.0
226, 285, 2, 1.0
224, 392, -3, 1.0
224, 225, 3, 1.0
220, 225, 2, 1.0
220, 224, -1, 1.0
219, 339, -3, 1.0
214, 392, -3, 1.0
214, 225, 3, 1.0
214, 224, 0, 1.0
214, 220, 1, 1.0
209, 270, -2, 1.0
209, 259, -2, 1.0
204, 210, -2, 1.0
202, 287, 3, 1.0
202, 225, -3, 1.0
198, 277, 1, 1.0
198, 227, -3, 1.0
192, 225, 3, 1.0
188, 234, -3, 1.0
187, 270, 1, 1.0
187, 259, 1, 1.0
187, 209, 3, 1.0
185, 386, 3, 1.0
185, 384, 3, 1.0
185, 380, 0, 1.0
185, 337, 0, 1.0
185, 318, 3, 1.0
185, 264, 0, 1.0
179, 391, -3, 1.0
179, 287, -2, 1.0
179, 204, -2, 1.0
177, 392, -2, 1.0
177, 224, 1, 1.0
177, 220, 2, 1.0
177, 214, 1, 1.0
175, 251, 3, 1.0
174, 210, -1, 1.0
170, 249, -1, 1.0
164, 249, -1, 1.0
164, 170, 0, 1.0
162, 284, 0, 1.0
158, 330, -3, 1.0
156, 389, -3, 1.0
156, 373, 3, 1.0
156, 251, 2, 1.0
156, 210, -3, 1.0
146, 373, 3, 1.0
146, 210, -2, 1.0
146, 174, -1, 1.0
139, 400, 3, 1.0
139, 380, 3, 1.0
139, 337, 3, 1.0
139, 264, 3, 1.0
139, 202, -3, 1.0
139, 185, 3, 1.0
137, 226, -2, 1.0
135, 225, 2, 1.0
135, 224, -1, 1.0
135, 220, 0, 1.0
135, 214, -1, 1.0
135, 177, -2, 1.0
132, 369, -2, 1.0
132, 346, -2, 1.0
132, 330, 0, 1.0
132, 290, -2, 1.0
132, 278, -2, 1.0
132, 237, 3, 1.0
132, 158, 3, 1.0
131, 188, -3, 1.0
130, 249, 0, 1.0
130, 170, 1, 1.0
130, 164, 1, 1.0
129, 369, -2, 1.0
129, 346, -2, 1.0
129, 330, 0, 1.0
129, 290, -2, 1.0
129, 278, -2, 1.0
129, 237, 3, 1.0
129, 158, 3, 1.0
129, 132, 0, 1.0
123, 287, 1, 1.0
123, 179, 3, 1.0
123, 156, 2, 1.0
122, 186, -1, 1.0
122, 138, -1, 1.0
118, 138, 1, 1.0
118, 122, 2, 1.0
114, 277, 2, 1.0
114, 122, -3, 1.0
109, 249, 0, 1.0
109, 170, 1, 1.0
109, 164, 1, 1.0
109, 130, 0, 1.0
107, 208, 1, 1.0
100, 389, -3, 1.0
100, 287, -1, 1.0
100, 210, -3, 1.0
100, 204, -1, 1.0
100, 179, 1, 1.0
100, 123, -2, 1.0
95, 287, 0, 1.0
95, 202, -3, 1.0
