'neuron', 'neuron', 'delay', 'correlation coefficient'
35, 47, 3, -0.87287156094396923
47, 208, -3, -0.87287156094396923
6, 39, -3, -0.86684511566107059
8, 27, -3, -0.84428251209866956
8, 42, -3, -0.84428251209866956
8, 48, -3, -0.84428251209866956
100, 204, -2, -0.84389164591661103
179, 187, 2, -0.84389164591661103
38, 53, 3, -0.84016805041680587
53, 173, -3, -0.84016805041680587
53, 54, -3, -0.83045479853739956
53, 103, 3, -0.82783735438471595
33, 88, -3, -0.82572282384477036
35, 88, -3, -0.82572282384477036
88, 208, 3, -0.82572282384477036
61, 100, 3, -0.82519184245703048
8, 38, -3, -0.8199200616907879
8, 173, -3, -0.8199200616907879
27, 179, -2, -0.81844487197163118
38, 179, -2, -0.81844487197163118
42, 179, -2, -0.81844487197163118
48, 179, -2, -0.81844487197163118
173, 179, -2, -0.81844487197163118
8, 163, -3, -0.81391427435144004
8, 70, -3, -0.81391427435143993
61, 88, 0, -0.80249586721361588
8, 16, -3, -0.8017837257372733
8, 43, -3, -0.8017837257372733
16, 53, 3, -0.79876206302836705
43, 53, 3, -0.79876206302836705
8, 179, 0, -0.79056941504209488
47, 58, -1, -0.78822732051249567
4, 141, -2, -0.7867957924694432
27, 53, 3, -0.78648375763961431
42, 53, 3, -0.78648375763961431
48, 53, 3, -0.78648375763961431
70, 179, -2, -0.78535547160710395
4, 103, -3, -0.78446454055273607
61, 88, -1, -0.78181580634838765
33, 88, -2, -0.77803606242321677
35, 88, -2, -0.77803606242321677
88, 208, 2, -0.77803606242321677
53, 187, -3, -0.7745966692414834
46, 53, 3, -0.77459666924148329
4, 167, 0, -0.77459666924148318
4, 167, 1, -0.77207466658357715
4, 125, -1, -0.77151674981045948
16, 179, -2, -0.76706882620744343
43, 179, -2, -0.76706882620744343
163, 179, -2, -0.76706882620744343
53, 168, -2, -0.7627700713964739
8, 46, -3, -0.75592894601845462
8, 168, -3, -0.75592894601845462
8, 187, -3, -0.7559289460184544
53, 70, -3, -0.74847405742226369
53, 163, -3, -0.74847405742226369
35, 47, 2, -0.74603174603174605
47, 204, 2, -0.74603174603174605
47, 208, -2, -0.74603174603174605
125, 179, 0, -0.74560113507932557
56, 163, 0, -0.73470804974993098
22, 189, 3, -0.73192505471140012
88, 204, 3, -0.7319250547113999
39, 106, 1, -0.73076167740370912
8, 54, -3, -0.72939680862579703
189, 204, 1, -0.72934768934168293
58, 103, 3, -0.72786026424261074
58, 141, 3, -0.72786026424261074
21, 204, 2, -0.72667667681433235
33, 47, 3, -0.72222222222222221
168, 179, -1, -0.71666666666666667
32, 141, 3, -0.71509694193419437
8, 163, -2, -0.71458056192275365
8, 130, -3, -0.70956629046022979
46, 179, -2, -0.70909090909090911
54, 179, -2, -0.70909090909090911
50, 56, 0, -0.70710678118654768
32, 39, -2, -0.70710678118654757
32, 103, 2, -0.70710678118654757
32, 141, 2, -0.70710678118654757
84, 179, 0, -0.70710678118654757
46, 56, 0, -0.70710678118654746
53, 179, 0, -0.70710678118654746
35, 100, 3, -0.7060782616876875
100, 208, -3, -0.7060782616876875
47, 61, -3, -0.7013343843696721
50, 113, 3, -0.70133438436967199
32, 189, 2, -0.70030097525185364
32, 103, 1, -0.70027467138588939
113, 189, 3, -0.69877124296868465
33, 47, -1, -0.6963106238227913
35, 47, -1, -0.69631062382279119
47, 208, 1, -0.69631062382279119
56, 113, -1, -0.69417347749713476
21, 61, 1, -0.6904821866494868
8, 113, -3, -0.69042487494042981
4, 56, -2, -0.68990941824762042
163, 189, 2, -0.68949969982993742
47, 61, 1, -0.68899862200413398
21, 58, 0, -0.68803296123245206
6, 39, -2, -0.68680281974344515
54, 56, 0, -0.686161147706986
27, 56, 0, -0.6860324842126776
42, 56, 0, -0.6860324842126776
48, 56, 0, -0.6860324842126776
76, 179, 0, -0.68476238326232586
50, 56, -1, -0.68465319688145776
53, 113, -3, -0.68465319688145754
6, 53, 2, -0.67936622048675743
46, 76, 3, -0.67936622048675743
58, 189, 3, -0.67474452381163708
8, 168, -2, -0.67419986246324204
39, 155, 1, -0.67307692307692302
16, 53, 2, -0.67292658491045321
43, 53, 2, -0.67292658491045321
27, 76, 3, -0.67254708952523612
42, 76, 3, -0.67254708952523612
48, 76, 3, -0.67254708952523612
58, 187, -3, -0.67193194395967881
32, 168, -3, -0.67082039324993692
170, 179, 0, -0.67042381006821572
141, 204, 0, -0.67005939426048999
6, 32, 3, -0.66815310478106094
39, 50, 2, -0.66666666666666663
103, 204, 1, -0.6629935441317959
4, 187, 1, -0.66240625848647539
38, 56, 0, -0.66143782776614768
56, 173, 0, -0.66143782776614768
6, 189, 1, -0.66061911495358538
61, 141, 3, -0.65923425308721562
4, 155, 1, -0.65828058860438321
54, 76, 3, -0.65552133665630696
127, 189, 2, -0.65517241379310343
16, 189, 2, -0.65468522028248743
43, 189, 2, -0.65468522028248743
47, 58, 0, -0.65465367070797709
56, 58, 0, -0.65465367070797709
32, 179, -1, -0.65192024052026487
125, 189, 3, -0.64984405613754526
22, 56, 0, -0.64888568452305007
35, 47, 1, -0.64795159529186253
47, 208, -1, -0.64795159529186253
113, 163, -3, -0.64634146341463372
58, 103, 2, -0.64597519349993926
58, 141, 2, -0.64597519349993926
38, 76, 3, -0.64476661041066063
76, 173, -3, -0.64476661041066063
8, 155, -3, -0.64465837122030423
33, 88, -1, -0.64196667524195705
35, 88, -1, -0.64196667524195694
88, 208, 1, -0.64196667524195694
53, 130, -3, -0.64154919207622607
39, 56, -3, -0.64150290258577469
53, 170, -3, -0.64123647005322126
38, 189, 2, -0.64117311169349467
173, 189, 2, -0.64117311169349467
61, 88, -2, -0.64111887433876957
16, 56, 0, -0.63903915429649694
43, 56, 0, -0.63903915429649694
56, 70, 0, -0.63887656499993983
125, 163, -3, -0.63801626962231561
76, 163, -3, -0.63769931218245302
130, 179, -1, -0.63745525831167671
8, 56, 2, -0.63723954736026078
127, 179, 0, -0.63721289099984146
53, 125, -3, -0.6367145399670131
50, 189, 2, -0.63668201221200649
22, 56, 1, -0.63639610306789285
27, 189, 2, -0.63612197163020368
42, 189, 2, -0.63612197163020368
48, 189, 2, -0.63612197163020368
54, 189, 3, -0.63568453464450991
35, 100, 2, -0.6333794997024097
100, 208, -2, -0.6333794997024097
46, 189, 3, -0.63245553203367588
58, 88, -1, -0.63039876062901445
38, 58, 3, -0.62942899552202325
58, 173, -3, -0.62942899552202325
