'neuron', 'neuron', 'delay', 'correlation coefficient'
325, 338, -3, 1.0
324, 333, -3, 1.0
308, 333, -1, 1.0
308, 324, 2, 1.0
294, 333, -3, 1.0
294, 308, -2, 1.0
291, 325, -3, 1.0
291, 294, -2, 1.0
287, 315, 3, 1.0
286, 290, 1, 1.0
280, 290, 1, 1.0
280, 286, 0, 1.0
273, 291, -3, 1.0
272, 312, 0, 1.0
260, 325, 3, 1.0
259, 273, -2, 1.0
258, 315, 3, 1.0
257, 273, -1, 1.0
257, 259, 1, 1.0
254, 269, 1, 1.0
252, 291, -3, 1.0
250, 340, -2, 1.0
250, 325, -3, 1.0
250, 324, -2, 1.0
247, 291, -3, 1.0
247, 269, 2, 1.0
247, 254, 1, 1.0
241, 273, -2, 1.0
241, 259, 0, 1.0
241, 257, -1, 1.0
239, 269, 0, 1.0
239, 254, -1, 1.0
239, 247, -2, 1.0
234, 253, -1, 1.0
233, 287, -3, 1.0
233, 258, -3, 1.0
233, 234, 1, 1.0
232, 315, 3, 1.0
232, 233, 3, 1.0
227, 255, 0, 1.0
224, 255, 0, 1.0
224, 227, 0, 1.0
223, 315, 3, 1.0
223, 233, 3, 1.0
222, 381, 3, 1.0
222, 287, -1, 1.0
222, 234, 3, 1.0
222, 233, 2, 1.0
222, 223, -1, 1.0
220, 255, -3, 1.0
220, 242, 2, 1.0
220, 227, -3, 1.0
220, 224, -3, 1.0
219, 287, -2, 1.0
219, 234, 2, 1.0
219, 233, 1, 1.0
219, 223, -2, 1.0
219, 222, -1, 1.0
218, 315, 0, 1.0
218, 287, -3, 1.0
218, 258, -3, 1.0
218, 232, -3, 1.0
218, 223, -3, 1.0
214, 286, -3, 1.0
214, 280, -3, 1.0
214, 249, 2, 1.0
209, 397, -3, 1.0
206, 276, -1, 1.0
206, 249, -1, 1.0
206, 214, -3, 1.0
205, 255, -1, 1.0
205, 227, -1, 1.0
205, 224, -1, 1.0
205, 220, 2, 1.0
203, 291, -3, 1.0
202, 333, -2, 1.0
201, 252, -1, 1.0
199, 287, -3, 1.0
199, 258, -3, 1.0
199, 232, -3, 1.0
199, 223, -3, 1.0
199, 212, 1, 1.0
197, 258, -2, 1.0
197, 234, 2, 1.0
197, 233, 1, 1.0
197, 232, -2, 1.0
196, 287, -3, 1.0
196, 258, -3, 1.0
196, 232, -3, 1.0
196, 223, -3, 1.0
196, 222, -2, 1.0
194, 333, 0, 1.0
194, 324, 3, 1.0
194, 308, 1, 1.0
194, 294, 3, 1.0
194, 202, 2, 1.0
191, 291, -3, 1.0
191, 252, 0, 1.0
191, 201, 1, 1.0
186, 290, -3, 1.0
186, 188, 2, 1.0
185, 253, 1, 1.0
185, 234, 2, 1.0
184, 250, -3, 1.0
183, 308, -3, 1.0
183, 298, -3, 1.0
183, 294, -1, 1.0
183, 291, 1, 1.0
182, 273, -2, 1.0
182, 259, 0, 1.0
182, 257, -1, 1.0
182, 241, 0, 1.0
178, 340, -2, 1.0
178, 325, -3, 1.0
178, 324, -2, 1.0
178, 250, 0, 1.0
178, 184, 3, 1.0
177, 333, -1, 1.0
177, 324, 2, 1.0
177, 308, 0, 1.0
177, 294, 2, 1.0
177, 194, -1, 1.0
177, 183, 3, 1.0
175, 245, 3, 1.0
174, 250, -3, 1.0
174, 184, 0, 1.0
174, 178, -3, 1.0
173, 269, 1, 1.0
173, 254, 0, 1.0
173, 247, -1, 1.0
173, 239, 1, 1.0
170, 269, 0, 1.0
170, 254, -1, 1.0
170, 247, -2, 1.0
170, 239, 0, 1.0
170, 173, -1, 1.0
161, 333, 0, 1.0
161, 324, 3, 1.0
161, 308, 1, 1.0
161, 294, 3, 1.0
161, 202, 2, 1.0
161, 194, 0, 1.0
161, 177, 1, 1.0
158, 286, -1, 1.0
158, 280, -1, 1.0
158, 214, 2, 1.0
157, 255, -1, 1.0
157, 227, -1, 1.0
157, 224, -1, 1.0
157, 220, 2, 1.0
157, 205, 0, 1.0
156, 287, -3, 1.0
156, 258, -3, 1.0
156, 234, 1, 1.0
156, 233, 0, 1.0
156, 232, -3, 1.0
156, 223, -3, 1.0
156, 222, -2, 1.0
156, 219, -1, 1.0
156, 197, -1, 1.0
155, 162, 0, 1.0
153, 315, 3, 1.0
153, 258, 0, 1.0
153, 233, 3, 1.0
153, 218, 3, 1.0
153, 199, 3, 1.0
153, 197, 2, 1.0
153, 196, 3, 1.0
153, 156, 3, 1.0
151, 223, 2, 1.0
151, 222, 3, 1.0
148, 225, -1, 1.0
146, 333, -1, 1.0
146, 324, 2, 1.0
146, 308, 0, 1.0
146, 294, 2, 1.0
146, 194, -1, 1.0
146, 183, 3, 1.0
146, 177, 0, 1.0
146, 161, -1, 1.0
145, 338, -3, 1.0
145, 260, -3, 1.0
142, 333, -2, 1.0
142, 324, 1, 1.0
142, 308, -1, 1.0
142, 294, 1, 1.0
142, 291, 3, 1.0
142, 250, 3, 1.0
142, 194, -2, 1.0
142, 183, 2, 1.0
142, 178, 3, 1.0
142, 177, -1, 1.0
142, 161, -2, 1.0
142, 146, -1, 1.0
141, 290, 1, 1.0
141, 286, 0, 1.0
141, 280, 0, 1.0
141, 214, 3, 1.0
141, 158, 1, 1.0
136, 287, -2, 1.0
136, 234, 2, 1.0
136, 233, 1, 1.0
136, 223, -2, 1.0
136, 222, -1, 1.0
136, 219, 0, 1.0
136, 156, 1, 1.0
135, 214, -3, 1.0
129, 252, -1, 1.0
129, 191, -1, 1.0
127, 340, -1, 1.0
127, 324, -1, 1.0
127, 308, -3, 1.0
127, 298, -3, 1.0
127, 250, 1, 1.0
127, 178, 1, 1.0
127, 177, -3, 1.0
127, 146, -3, 1.0
127, 142, -2, 1.0
121, 287, -3, 1.0
121, 258, -3, 1.0
121, 234, 1, 1.0
121, 233, 0, 1.0
121, 232, -3, 1.0
121, 223, -3, 1.0
121, 222, -2, 1.0
121, 219, -1, 1.0
121, 197, -1, 1.0
121, 156, 0, 1.0
121, 153, -3, 1.0
121, 136, -1, 1.0
119, 255, -1, 1.0
119, 227, -1, 1.0
119, 224, -1, 1.0
119, 220, 2, 1.0
119, 205, 0, 1.0
119, 157, 0, 1.0
118, 351, -3, 1.0
117, 324, 3, 1.0
117, 308, 1, 1.0
117, 294, 3, 1.0
117, 253, -1, 1.0
117, 233, -1, 1.0
117, 222, -3, 1.0
117, 219, -2, 1.0
117, 202, 2, 1.0
117, 197, -2, 1.0
117, 185, -2, 1.0
117, 177, 1, 1.0
117, 156, -1, 1.0
117, 146, 1, 1.0
117, 142, 2, 1.0
117, 136, -2, 1.0
117, 121, -1, 1.0
116, 273, -2, 1.0
116, 259, 0, 1.0
116, 257, -1, 1.0
116, 241, 0, 1.0
116, 182, 0, 1.0
113, 253, 0, 1.0
113, 234, 1, 1.0
113, 185, -1, 1.0
113, 117, 1, 1.0
112, 291, -3, 1.0
112, 252, 0, 1.0
112, 201, 1, 1.0
112, 191, 0, 1.0
112, 129, 1, 1.0
111, 291, -3, 1.0
111, 252, 0, 1.0
111, 201, 1, 1.0
111, 191, 0, 1.0
111, 129, 1, 1.0
111, 112, 0, 1.0
110, 315, 3, 1.0
110, 287, 0, 1.0
110, 233, 3, 1.0
110, 222, 1, 1.0
110, 219, 2, 1.0
110, 218, 3, 1.0
110, 199, 3, 1.0
110, 196, 3, 1.0
110, 156, 3, 1.0
110, 136, 2, 1.0
110, 121, 3, 1.0
107, 255, -2, 1.0
107, 242, 3, 1.0
107, 227, -2, 1.0
107, 224, -2, 1.0
107, 220, 1, 1.0
107, 205, -1, 1.0
107, 157, -1, 1.0
107, 119, -1, 1.0
105, 269, 1, 1.0
105, 254, 0, 1.0
105, 247, -1, 1.0
105, 239, 1, 1.0
105, 173, 0, 1.0
105, 170, 1, 1.0
102, 294, -3, 1.0
102, 243, 2, 1.0
100, 243, 0, 1.0
100, 102, -2, 1.0
98, 290, -2, 1.0
98, 286, -3, 1.0
98, 280, -3, 1.0
98, 141, -3, 1.0
95, 287, -3, 1.0
95, 258, -3, 1.0
95, 232, -3, 1.0
95, 223, -3, 1.0
95, 153, -3, 1.0
95, 110, -3, 1.0
94, 96, 2, 1.0
93, 315, 0, 1.0
93, 287, -3, 1.0
93, 258, -3, 1.0
93, 232, -3, 1.0
93, 223, -3, 1.0
93, 218, 0, 1.0
93, 153, -3, 1.0
93, 110, -3, 1.0
91, 333, -3, 1.0
91, 324, 0, 1.0
91, 308, -2, 1.0
91, 250, 2, 1.0
91, 194, -3, 1.0
91, 178, 2, 1.0
91, 177, -2, 1.0
91, 161, -3, 1.0
91, 146, -2, 1.0
91, 142, -1, 1.0
91, 127, 1, 1.0
91, 117, -3, 1.0
89, 269, -1, 1.0
89, 254, -2, 1.0
89, 247, -3, 1.0
89, 239, -1, 1.0
89, 173, -2, 1.0
89, 170, -1, 1.0
89, 105, -2, 1.0
86, 291, -3, 1.0
86, 252, 0, 1.0
86, 201, 1, 1.0
86, 191, 0, 1.0
86, 129, 1, 1.0
86, 112, 0, 1.0
86, 111, 0, 1.0
85, 162, 1, 1.0
85, 155, 1, 1.0
85, 89, -3, 1.0
83, 287, -2, 1.0
83, 234, 2, 1.0
83, 233, 1, 1.0
83, 223, -2, 1.0
83, 222, -1, 1.0
83, 219, 0, 1.0
83, 156, 1, 1.0
83, 136, 0, 1.0
83, 121, 1, 1.0
83, 117, 2, 1.0
83, 110, -2, 1.0
82, 225, -1, 1.0
82, 148, 0, 1.0
81, 207, -1, 1.0
78, 253, -1, 1.0
78, 234, 0, 1.0
78, 233, -1, 1.0
78, 222, -3, 1.0
78, 219, -2, 1.0
78, 197, -2, 1.0
78, 185, -2, 1.0
78, 156, -1, 1.0
78, 136, -2, 1.0
78, 121, -1, 1.0
78, 113, -1, 1.0
78, 83, -2, 1.0
77, 212, 1, 1.0
76, 169, 3, 1.0
71, 333, -2, 1.0
71, 324, 1, 1.0
71, 308, -1, 1.0
71, 294, 1, 1.0
71, 291, 3, 1.0
71, 250, 3, 1.0
71, 194, -2, 1.0
71, 183, 2, 1.0
71, 178, 3, 1.0
71, 177, -1, 1.0
71, 161, -2, 1.0
71, 146, -1, 1.0
71, 142, 0, 1.0
71, 127, 2, 1.0
71, 117, -2, 1.0
71, 91, 1, 1.0
70, 273, -2, 1.0
70, 259, 0, 1.0
70, 257, -1, 1.0
70, 241, 0, 1.0
70, 182, 0, 1.0
70, 116, 0, 1.0
69, 255, -2, 1.0
69, 242, 3, 1.0
69, 227, -2, 1.0
69, 224, -2, 1.0
69, 220, 1, 1.0
69, 205, -1, 1.0
69, 157, -1, 1.0
69, 119, -1, 1.0
69, 107, 0, 1.0
66, 212, 1, 1.0
66, 77, 0, 1.0
65, 207, -1, 1.0
65, 81, 0, 1.0
64, 255, -3, 1.0
64, 242, 2, 1.0
64, 227, -3, 1.0
64, 224, -3, 1.0
64, 220, 0, 1.0
64, 205, -2, 1.0
64, 157, -2, 1.0
64, 119, -2, 1.0
64, 107, -1, 1.0
64, 69, -1, 1.0
63, 255, 0, 1.0
63, 227, 0, 1.0
63, 224, 0, 1.0
63, 220, 3, 1.0
63, 205, 1, 1.0
63, 157, 1, 1.0
63, 119, 1, 1.0
63, 107, 2, 1.0
63, 69, 2, 1.0
63, 64, 3, 1.0
60, 325, 3, 1.0
60, 145, 3, 1.0
60, 143, -2, 1.0
59, 291, -2, 1.0
59, 290, 3, 1.0
59, 286, 2, 1.0
59, 280, 2, 1.0
59, 273, 1, 1.0
59, 259, 3, 1.0
59, 257, 2, 1.0
59, 255, 3, 1.0
59, 241, 3, 1.0
59, 227, 3, 1.0
59, 224, 3, 1.0
59, 183, -3, 1.0
59, 182, 3, 1.0
59, 158, 3, 1.0
59, 141, 2, 1.0
59, 116, 3, 1.0
59, 70, 3, 1.0
59, 63, 3, 1.0
58, 243, 1, 1.0
58, 102, -1, 1.0
58, 100, 1, 1.0
56, 381, 3, 1.0
56, 234, 3, 1.0
56, 233, 2, 1.0
56, 219, 1, 1.0
56, 196, 2, 1.0
56, 156, 2, 1.0
56, 136, 1, 1.0
56, 121, 2, 1.0
56, 117, 3, 1.0
56, 83, 1, 1.0
56, 78, 3, 1.0
51, 237, 0, 1.0
50, 139, -2, 1.0
49, 287, -3, 1.0
49, 258, -3, 1.0
49, 234, 1, 1.0
49, 233, 0, 1.0
49, 232, -3, 1.0
49, 223, -3, 1.0
