'neuron', 'neuron', 'delay', 'correlation coefficient'
64, 78, 2, -1.0
78, 131, -2, -1.0
78, 207, -2, -1.0
58, 208, -3, -0.931891116296093
127, 208, -3, -0.931891116296093
78, 113, -3, -0.92222466832677574
27, 208, -3, -0.91079385952335801
32, 208, -3, -0.91079385952335801
38, 208, -3, -0.91079385952335801
42, 208, -3, -0.91079385952335801
43, 208, -3, -0.91079385952335801
48, 208, -3, -0.91079385952335801
54, 208, -3, -0.91079385952335801
78, 124, -1, -0.90014879722346874
78, 117, 2, -0.88191710368819687
20, 179, -3, -0.88070484592797915
64, 78, 3, -0.87287156094396934
78, 131, -3, -0.87287156094396934
78, 207, -3, -0.87287156094396934
122, 130, 3, -0.85539892276830165
20, 78, 1, -0.84162541153017312
59, 179, -3, -0.83943397015125731
78, 113, -2, -0.83724122107262777
26, 179, -3, -0.83427976558989336
17, 208, -3, -0.82915619758884995
173, 208, -3, -0.82915619758884995
70, 208, -3, -0.82915619758884984
20, 78, 2, -0.82857142857142863
129, 137, 3, -0.82783735438471562
44, 59, 3, -0.8272020798988442
59, 179, -2, -0.82416338369213415
26, 78, 1, -0.82291666666666663
59, 78, 0, -0.81649658092772603
26, 78, 2, -0.80952380952380953
131, 179, -3, -0.80897905744500898
78, 187, -3, -0.80694658478592873
21, 26, -1, -0.80677931130071556
59, 78, 1, -0.8036375634160795
64, 179, -3, -0.80178372573727297
44, 113, 3, -0.80073570750744483
113, 179, -2, -0.80003628364743229
113, 179, -3, -0.79907829366275795
62, 78, 0, -0.79772403521746549
73, 78, 0, -0.79772403521746549
78, 107, 0, -0.79772403521746549
21, 59, -1, -0.79321237250533683
129, 179, 3, -0.79056941504209488
59, 78, 2, -0.7867957924694432
59, 78, 3, -0.7857142857142857
17, 134, -3, -0.78446454055273607
134, 173, 3, -0.78446454055273607
179, 208, 3, -0.78446454055273607
70, 134, -3, -0.78446454055273596
62, 78, 1, -0.7833494518006402
67, 78, 1, -0.7833494518006402
73, 78, 1, -0.7833494518006402
78, 107, -1, -0.7833494518006402
44, 112, 2, -0.78262379212492639
15, 91, 0, -0.77892405860624814
112, 179, -1, -0.77357581414486121
50, 208, -3, -0.77355094918422174
41, 208, -3, -0.77109960095605956
168, 208, -3, -0.77109960095605956
61, 91, 1, -0.76553181582411145
62, 78, 2, -0.76447078715643835
67, 78, 2, -0.76447078715643835
73, 78, 2, -0.76447078715643835
78, 107, -2, -0.76447078715643835
16, 208, -3, -0.76405090429576694
64, 78, 1, -0.76388888888888895
112, 179, 0, -0.76376261582597338
78, 124, 0, -0.76088591025268226
78, 91, -3, -0.7559289460184544
17, 112, 3, -0.75567042975657583
112, 173, -3, -0.75567042975657583
21, 112, -3, -0.75429802945611557
112, 122, -2, -0.75
122, 187, 3, -0.7470178808339959
50, 134, -3, -0.74661159413537492
26, 58, 3, -0.74560113507932557
26, 127, 3, -0.74560113507932557
19, 112, -3, -0.7385489458759964
61, 78, -3, -0.73854894587599584
78, 129, 3, -0.73854894587599584
16, 122, -3, -0.7382805290232729
26, 78, 3, -0.73648537954647431
84, 91, 3, -0.73402527439337928
78, 131, -1, -0.73258967439300815
44, 59, 2, -0.73029674334022143
19, 84, 1, -0.72804400754561316
78, 84, 0, -0.72760687510899891
78, 124, -2, -0.72667667681433235
29, 91, 2, -0.72586618631129773
16, 122, -2, -0.72547625011001171
21, 208, 0, -0.7254762501100116
44, 130, 3, -0.72380181991148884
130, 179, -3, -0.72230364873480313
59, 179, -1, -0.72185372267161285
20, 78, 0, -0.72063396028846016
124, 179, -3, -0.7205766921228921
20, 137, -3, -0.72057669212289199
78, 187, -2, -0.72008229982309557
131, 179, -2, -0.71971930472672574
91, 117, -2, -0.71842120810709964
113, 179, -1, -0.71595531885547337
26, 137, -3, -0.71509694193419415
27, 134, -3, -0.71415022047731513
32, 134, -3, -0.71415022047731513
38, 134, -3, -0.71415022047731513
42, 134, -3, -0.71415022047731513
43, 134, -3, -0.71415022047731513
48, 134, -3, -0.71415022047731513
54, 134, -3, -0.71415022047731513
44, 131, 3, -0.71415022047731502
64, 179, -2, -0.71374642714632974
130, 179, -2, -0.71339387270291499
113, 122, -3, -0.70974033511107582
26, 27, 3, -0.70952424731946029
26, 32, 3, -0.70952424731946029
26, 38, 3, -0.70952424731946029
26, 42, 3, -0.70952424731946029
26, 43, 3, -0.70952424731946029
26, 48, 3, -0.70952424731946029
26, 54, 3, -0.70952424731946029
44, 113, 2, -0.70891755695856673
44, 64, 3, -0.70779832832609391
78, 84, -1, -0.70777607313116342
67, 78, 0, -0.70710678118654757
21, 130, -1, -0.70415433914258696
62, 179, -3, -0.70156076002011425
73, 179, -3, -0.70156076002011425
107, 179, -3, -0.70156076002011425
179, 207, 3, -0.70156076002011425
41, 229, 3, -0.7015607600201138
59, 78, -1, -0.70135450960847756
19, 112, -2, -0.70116959145888669
17, 129, 0, -0.69991323927335547
129, 173, 0, -0.69991323927335547
122, 229, 1, -0.69693205243716949
168, 208, -2, -0.68996836016455776
26, 41, 2, -0.68887476370214162
44, 78, -3, -0.68824720161168529
26, 33, -2, -0.68803296123245206
33, 84, 3, -0.68640647298364443
41, 112, 3, -0.68640647298364388
137, 208, 3, -0.68640647298364388
17, 122, -3, -0.68465319688145776
70, 122, -3, -0.68465319688145776
122, 173, 3, -0.68465319688145776
26, 50, 3, -0.68418409562947913
78, 84, -2, -0.68162120316746644
15, 90, 3, -0.68138514386924665
78, 208, 3, -0.68054465367162043
33, 125, -3, -0.68054465367162031
27, 122, -3, -0.67994762086743676
32, 122, -3, -0.67994762086743676
38, 122, -3, -0.67994762086743676
42, 122, -3, -0.67994762086743676
43, 122, -3, -0.67994762086743676
48, 122, -3, -0.67994762086743676
50, 122, -3, -0.67994762086743676
54, 122, -3, -0.67994762086743676
21, 59, -2, -0.67936622048675743
113, 122, -2, -0.67936622048675743
106, 129, -3, -0.67840052529996797
26, 41, 3, -0.67627507197365533
26, 168, 3, -0.67627507197365533
26, 168, 2, -0.67612340378281321
26, 179, -2, -0.67609995292510605
112, 137, -1, -0.67480155813182796
44, 112, 3, -0.67357350340474031
19, 20, 1, -0.6731618328060891
112, 179, -2, -0.67292658491045321
122, 131, 3, -0.67135769441196824
112, 137, 0, -0.67082039324993692
26, 44, -3, -0.67072756540845613
27, 229, 2, -0.66982977769280405
38, 229, 2, -0.66982977769280405
42, 229, 2, -0.66982977769280405
43, 229, 2, -0.66982977769280405
48, 229, 2, -0.66982977769280405
19, 20, 0, -0.66533691211423418
17, 26, -3, -0.66340347200377725
26, 70, 3, -0.66340347200377725
26, 173, 3, -0.66340347200377725
