'neuron', 'neuron', 'delay', 'correlation coefficient'
75, 107, 2, -0.92847669088525941
126, 204, 3, -0.91287092917527679
127, 230, -2, -0.89707072375839347
26, 230, -2, -0.89442719099991586
26, 56, -3, -0.89260739828867341
56, 127, 3, -0.89260739828867319
24, 56, 3, -0.87287156094396934
56, 188, 3, -0.87287156094396934
29, 230, -3, -0.87287156094396923
56, 162, 3, -0.87287156094396923
188, 230, -3, -0.87287156094396923
21, 26, 2, -0.86657824482624213
56, 192, 3, -0.86602540378443849
192, 230, -3, -0.86602540378443837
56, 126, 0, -0.85280286542244188
98, 230, -2, -0.84327404271156781
31, 39, 3, -0.83761059683861383
56, 98, 3, -0.83642836100934237
18, 181, -1, -0.83597023415141747
44, 98, -3, -0.83427976558989336
21, 127, 2, -0.83215481013957959
10, 98, -3, -0.82251612115266493
21, 188, 3, -0.82171966891739567
18, 117, -1, -0.81635603585724192
18, 138, -1, -0.80958117983744404
18, 171, -1, -0.80958117983744404
6, 106, 3, -0.80897905744500931
24, 56, 2, -0.80757285308724824
17, 99, 3, -0.80694658478592873
10, 18, 1, -0.80605790870840921
18, 187, 0, -0.80049873589161868
18, 44, -1, -0.79278232268575421
21, 192, 3, -0.79056941504209488
106, 162, -2, -0.78867386953791574
21, 98, 2, -0.78783859715833526
17, 18, 1, -0.78664386325944746
31, 44, 3, -0.78446454055273607
17, 230, -2, -0.7745966692414834
56, 162, 2, -0.7745966692414834
162, 230, -2, -0.7745966692414834
188, 230, -2, -0.7745966692414834
40, 44, 3, -0.77262282048051911
44, 127, -3, -0.77262282048051911
10, 31, -3, -0.7718927553490097
21, 187, 3, -0.76742576689365061
37, 75, -3, -0.7674257668936505
107, 187, -3, -0.76553181582411123
107, 214, 1, -0.76516387051471191
17, 56, -3, -0.76376261582597338
44, 192, -3, -0.76376261582597316
18, 138, 0, -0.76260368128640899
18, 171, 0, -0.76260368128640899
18, 40, -1, -0.7569485648326626
32, 137, -3, -0.75429802945611579
39, 98, -3, -0.7524776212837927
59, 106, 0, -0.75104094428999013
17, 21, -2, -0.75047877438645638
40, 230, -2, -0.75043259439270638
21, 187, 2, -0.74740931868365967
21, 181, 3, -0.74701788083399612
39, 106, 3, -0.74560113507932557
26, 56, -2, -0.7453559924999299
107, 187, -2, -0.7453559924999299
56, 127, 2, -0.74437783460802864
21, 26, 3, -0.74208218925517666
39, 40, -3, -0.7418575770165069
39, 127, -3, -0.7418575770165069
1, 127, 3, -0.74079719748719219
103, 106, 1, -0.7404402394871229
107, 137, -1, -0.73881883404355642
1, 6, 2, -0.7385489458759964
29, 40, 3, -0.7385489458759964
40, 56, -3, -0.73854894587599618
127, 204, 0, -0.73645969431865865
21, 107, 0, -0.73598007219398731
192, 230, -2, -0.73333333333333328
26, 230, -3, -0.73321322002283884
127, 230, -3, -0.73321322002283862
21, 24, -3, -0.73214285714285721
24, 230, 3, -0.73214285714285721
126, 214, 3, -0.73192505471139968
18, 187, -1, -0.73087507837346344
10, 106, 3, -0.72984276015142779
59, 106, -1, -0.72934768934168293
106, 162, -1, -0.72934768934168281
106, 188, -1, -0.72934768934168281
18, 188, 1, -0.72648315725677881
107, 137, -2, -0.72586618631129773
4, 29, 1, -0.72551234255798847
6, 18, 1, -0.72456441493274004
107, 181, -3, -0.72435768508662612
148, 204, -1, -0.7242068243779014
10, 40, -3, -0.72340989874812001
10, 127, -3, -0.72340989874812001
40, 99, 3, -0.72340989874812001
99, 127, -3, -0.72340989874812001
21, 40, 2, -0.72200040432033963
56, 66, 3, -0.72057669212289222
56, 95, 3, -0.72057669212289222
95, 230, -3, -0.72057669212289222
40, 106, 2, -0.71943584821615092
106, 127, -2, -0.71943584821615092
10, 192, -2, -0.71922276970179544
18, 37, -3, -0.71919495222807617
187, 214, -1, -0.71852547625596397
101, 107, 3, -0.71852462816360108
26, 204, 0, -0.71842120810709964
95, 99, 2, -0.71839125107558355
148, 214, -2, -0.7181848464596079
148, 214, -3, -0.71728062570261164
187, 214, -2, -0.7172191381865588
26, 214, -1, -0.71713716560063612
148, 204, -2, -0.71524747281512369
148, 230, -2, -0.71524747281512369
1, 40, 3, -0.71509694193419437
44, 138, -3, -0.71443450831176003
44, 171, -3, -0.71443450831176003
31, 143, 2, -0.7142857142857143
66, 75, -3, -0.71260964068696142
127, 204, -1, -0.71217219780899654
127, 230, -1, -0.71217219780899654
21, 181, 2, -0.71167029641250856
18, 107, -3, -0.71085353667365514
101, 137, -3, -0.71085353667365503
95, 230, -2, -0.71070746802401419
10, 214, 0, -0.70937242871339568
53, 143, 2, -0.70929936561519058
18, 40, 0, -0.70840161248742228
44, 117, -3, -0.70710678118654768
68, 117, -3, -0.70710678118654768
17, 204, 0, -0.70710678118654757
107, 148, -2, -0.70710678118654757
137, 214, -2, -0.70710678118654757
56, 107, 1, -0.70597811840613145
44, 192, -2, -0.70533526990224726
6, 31, -3, -0.70443064064003291
56, 148, 3, -0.70436072506049896
107, 204, 3, -0.70436072506049896
148, 230, -3, -0.70436072506049896
2, 68, 3, -0.70346500531201284
95, 204, -1, -0.70255239410397163
127, 214, -1, -0.70221715436497423
46, 126, -1, -0.70135450960847756
29, 44, 1, -0.70079332778309633
6, 56, -2, -0.70064904974537068
6, 204, 1, -0.70023483212137794
6, 230, -1, -0.70023483212137794
107, 204, 2, -0.69989647267561517
21, 127, 3, -0.69843029576957805
56, 126, 1, -0.69742393566517347
26, 107, 2, -0.69631062382279141
56, 107, -1, -0.6963106238227913
162, 230, -1, -0.6963106238227913
188, 204, -1, -0.6963106238227913
95, 204, 0, -0.69570108523704355
17, 29, -3, -0.69556952512722581
21, 181, 1, -0.6944562646748168
56, 107, 0, -0.69337524528153638
44, 187, -3, -0.6904248749404297
98, 106, 2, -0.69018441414203568
187, 230, -2, -0.68888888888888888
2, 18, 1, -0.6886124242736994
56, 126, -1, -0.6872608246346078
187, 204, -1, -0.6872608246346078
44, 106, 3, -0.6864064729836441
24, 50, -3, -0.68640647298364399
31, 68, 3, -0.68640647298364388
1, 107, 1, -0.68638148003020649
53, 99, 3, -0.68604651162790697
1, 18, -2, -0.68389820095548381
56, 66, 2, -0.68313005106397329
66, 230, -2, -0.68313005106397329
126, 204, 2, -0.68313005106397329
39, 138, -3, -0.682288239221013
39, 171, -3, -0.682288239221013
1, 101, 3, -0.6819943394704735
1, 98, 3, -0.68199433947047339
46, 99, -3, -0.68199433947047339
56, 187, 3, -0.68054465367162031
187, 230, -3, -0.68054465367162031
20, 46, 1, -0.68013604081360479
107, 192, -1, -0.6796261896779191
2, 24, 0, -0.67874210902472232
6, 106, 2, -0.67859891155426266
181, 214, -1, -0.67820108371832466
21, 138, 2, -0.67806350362081047
21, 171, 2, -0.67806350362081047
6, 187, -3, -0.67763092717893836
29, 75, 3, -0.67627507197365544
46, 86, 0, -0.67625222600057411
2, 21, -3, -0.6760839831254738
32, 214, -1, -0.67476990331496356
21, 53, 3, -0.67419986246324193
26, 214, -2, -0.67357531405456339
21, 37, 1, -0.67097896089031495
21, 148, 2, -0.67097819356305799
1, 108, 3, -0.67082039324993692
1, 192, 3, -0.67082039324993692
10, 192, -3, -0.67063464760239155
99, 214, 3, -0.67063464760239155
46, 99, -2, -0.67016625326671275
39, 187, -3, -0.66999375043037768
6, 214, 0, -0.66977142984329607
107, 214, 2, -0.66900697491193495
21, 101, 1, -0.66850367472480465
