'neuron', 'neuron', 'delay', 'correlation coefficient'
1, 52, -2, -1.0
1, 56, -2, -1.0
1, 76, -1, -1.0
1, 79, -2, -1.0
1, 82, -2, -1.0
1, 95, -2, -1.0
1, 100, -1, -1.0
1, 123, -3, -1.0
1, 179, 0, -1.0
1, 204, -2, -1.0
1, 287, -2, -1.0
1, 391, -3, -1.0
12, 31, -2, -1.0
12, 123, -3, -1.0
12, 158, 3, -1.0
12, 175, -2, -1.0
12, 237, 3, -1.0
12, 391, -3, -1.0
15, 155, -3, -1.0
19, 22, 2, -1.0
19, 32, -1, -1.0
19, 122, 3, -1.0
19, 186, 2, -1.0
22, 31, -3, -1.0
22, 129, -1, -1.0
22, 132, -1, -1.0
22, 175, -3, -1.0
22, 278, -3, -1.0
22, 290, -3, -1.0
22, 330, -1, -1.0
22, 346, -3, -1.0
22, 369, -3, -1.0
31, 155, 2, -1.0
31, 186, 3, -1.0
32, 47, 2, -1.0
32, 52, -2, -1.0
32, 56, -2, -1.0
32, 76, -1, -1.0
32, 79, -2, -1.0
32, 82, -2, -1.0
32, 95, -2, -1.0
32, 100, -1, -1.0
32, 123, -3, -1.0
32, 129, 2, -1.0
32, 132, 2, -1.0
32, 204, -2, -1.0
32, 251, 3, -1.0
32, 287, -2, -1.0
32, 330, 2, -1.0
32, 391, -3, -1.0
37, 155, -2, -1.0
46, 51, -1, -1.0
46, 114, -3, -1.0
55, 341, 2, -1.0
59, 338, 3, -1.0
69, 151, 3, -1.0
71, 118, 2, -1.0
71, 138, 3, -1.0
114, 237, -2, -1.0
118, 139, -1, -1.0
118, 158, 3, -1.0
118, 174, -2, -1.0
118, 210, -3, -1.0
118, 237, 3, -1.0
118, 389, -3, -1.0
122, 129, -2, -1.0
122, 132, -2, -1.0
122, 139, -3, -1.0
122, 237, 1, -1.0
122, 330, -2, -1.0
123, 155, 3, -1.0
129, 186, 1, -1.0
132, 186, 1, -1.0
137, 158, 1, -1.0
138, 139, -2, -1.0
138, 158, 2, -1.0
138, 174, -3, -1.0
138, 237, 2, -1.0
155, 175, -2, -1.0
155, 339, 2, -1.0
155, 391, -3, -1.0
158, 186, -2, -1.0
158, 226, -3, -1.0
165, 166, -1, -1.0
175, 186, 3, -1.0
186, 237, 2, -1.0
186, 278, -3, -1.0
186, 290, -3, -1.0
186, 330, -1, -1.0
186, 346, -3, -1.0
186, 369, -3, -1.0
202, 226, 3, -1.0
226, 237, 3, -1.0
237, 281, 3, -1.0
12, 373, 2, -0.95413004651266653
12, 400, 2, -0.95413004651266653
118, 373, 2, -0.95413004651266653
118, 400, 2, -0.95413004651266653
22, 156, -2, -0.94197873843413882
156, 186, 2, -0.94197873843413882
122, 146, -3, -0.9414688716912718
122, 156, -3, -0.9414688716912718
138, 373, 1, -0.93441657110638232
138, 400, 1, -0.93441657110638232
186, 373, 1, -0.93441657110638232
186, 400, 1, -0.93441657110638232
12, 156, -1, -0.93178165589561046
12, 251, 1, -0.93178165589561046
138, 146, -2, -0.93094933625126275
186, 251, 0, -0.93077206321599837
118, 146, -1, -0.92971054749726256
122, 251, -1, -0.92971054749726234
237, 285, -1, -0.92951600308978011
173, 212, 2, -0.92717264994553072
137, 347, 3, -0.92702481088695809
263, 336, -1, -0.92505590641098867
46, 216, 3, -0.92222466832677552
285, 323, 3, -0.91490631838924996
72, 271, -3, -0.91287092917527679
66, 210, 3, -0.91079385952335801
68, 188, 3, -0.90971765229468415
81, 216, -3, -0.90112711377916577
88, 216, -3, -0.90112711377916577
198, 216, -3, -0.90112711377916577
4, 151, 1, -0.90014879722346863
38, 51, -1, -0.90014879722346863
22, 373, 0, -0.89442719099991597
54, 68, 0, -0.89442719099991597
68, 234, 0, -0.89442719099991597
96, 343, 1, -0.89389841342428755
12, 373, 1, -0.89309520635766915
22, 400, 1, -0.89309520635766915
22, 373, 1, -0.89309520635766904
64, 131, -3, -0.89188258501584472
12, 250, 3, -0.88975652100260916
118, 250, 3, -0.88975652100260916
226, 250, 3, -0.88975652100260916
64, 205, -2, -0.88929729179988759
131, 208, 2, -0.88929729179988759
1, 56, -1, -0.88898596874842672
32, 56, -1, -0.88898596874842672
46, 163, -1, -0.88888888888888873
151, 336, 1, -0.88888888888888873
38, 114, -3, -0.88888241083874941
32, 251, 2, -0.88863454890204852
22, 146, -3, -0.88823478819568813
22, 156, -3, -0.88823478819568813
32, 373, 3, -0.88823478819568813
146, 186, 3, -0.88823478819568813
156, 186, 3, -0.88823478819568813
107, 131, -1, -0.88741196746494233
216, 227, 0, -0.88402652119345959
16, 338, -1, -0.88273482950474946
65, 126, 1, -0.88273482950474946
65, 237, -1, -0.88273482950474946
114, 237, -1, -0.88273482950474946
16, 272, 2, -0.88191710368819687
46, 72, 2, -0.88191710368819687
46, 81, -2, -0.88191710368819687
46, 88, -2, -0.88191710368819687
46, 163, -2, -0.88191710368819687
46, 188, -2, -0.88191710368819687
46, 198, -2, -0.88191710368819687
46, 280, 2, -0.88191710368819687
51, 107, 2, -0.88191710368819687
51, 120, 2, -0.88191710368819687
227, 392, 2, -0.88191710368819687
17, 336, -2, -0.87831006565367986
51, 336, -2, -0.87831006565367986
62, 349, -2, -0.87831006565367986
162, 336, -2, -0.87831006565367986
163, 336, -2, -0.87831006565367986
188, 237, -2, -0.87831006565367986
284, 336, -2, -0.87831006565367986
196, 209, 2, -0.87831006565367975
122, 237, 0, -0.8770580193070292
122, 261, 0, -0.8770580193070292
139, 226, 0, -0.87705801930702909
205, 208, 1, -0.87645982120221477
46, 65, -3, -0.87499999999999989
46, 188, -3, -0.87499999999999989
51, 208, 3, -0.87499999999999989
208, 392, 3, -0.87499999999999989
226, 286, -3, -0.87499999999999989
4, 12, -3, -0.87499999999999978
4, 118, -3, -0.87499999999999978
4, 226, -3, -0.87499999999999978
51, 107, 3, -0.87499999999999978
64, 111, -3, -0.87499999999999978
107, 392, 3, -0.87499999999999978
65, 343, 2, -0.87369775285722429
137, 250, 1, -0.87355550460228826
3, 396, 3, -0.87287156094396967
187, 201, -3, -0.87287156094396967
237, 256, 3, -0.87287156094396967
54, 392, 3, -0.87287156094396945
234, 392, 3, -0.87287156094396945
3, 336, -3, -0.87287156094396934
17, 336, -3, -0.87287156094396934
46, 81, -3, -0.87287156094396934
46, 88, -3, -0.87287156094396934
46, 96, -3, -0.87287156094396934
46, 198, -3, -0.87287156094396934
51, 336, -3, -0.87287156094396934
69, 96, 3, -0.87287156094396934
81, 237, -3, -0.87287156094396934
88, 237, -3, -0.87287156094396934
126, 131, 3, -0.87287156094396934
159, 188, -3, -0.87287156094396934
162, 336, -3, -0.87287156094396934
163, 336, -3, -0.87287156094396934
187, 188, -3, -0.87287156094396934
187, 209, -3, -0.87287156094396934
198, 237, -3, -0.87287156094396934
215, 237, -3, -0.87287156094396934
227, 333, 3, -0.87287156094396934
237, 277, 3, -0.87287156094396934
284, 336, -3, -0.87287156094396934
46, 72, 3, -0.87287156094396923
51, 54, 3, -0.87287156094396923
51, 234, 3, -0.87287156094396923
108, 110, 3, -0.87287156094396923
119, 383, -3, -0.87287156094396923
113, 255, -3, -0.87222996710632383
138, 250, 2, -0.87093638328355194
186, 250, 2, -0.87093638328355194
16, 55, -2, -0.8703882797784892
165, 173, -2, -0.8703882797784892
107, 205, 0, -0.87038827977848909
4, 114, 2, -0.8682431421244593
75, 193, 2, -0.86692144686301076
28, 66, -3, -0.86684511566107059
29, 44, 3, -0.86684511566107059
29, 86, 3, -0.86684511566107059
29, 164, 3, -0.86684511566107059
29, 170, 3, -0.86684511566107059
29, 341, 3, -0.86684511566107059
75, 142, -3, -0.86684511566107059
113, 177, 2, -0.86640022544396345
225, 271, 2, -0.86640022544396345
286, 367, -2, -0.86640022544396345
209, 271, 3, -0.86608826629704516
188, 271, 3, -0.86608826629704505
172, 385, 3, -0.86602540378443893
242, 333, 3, -0.86602540378443871
33, 113, -3, -0.8660254037844386
113, 214, 3, -0.8660254037844386
113, 224, 3, -0.8660254037844386
114, 237, -3, -0.8660254037844386
114, 261, -3, -0.8660254037844386
17, 119, 3, -0.86602540378443849
34, 98, -3, -0.86602540378443849
65, 69, -3, -0.86602540378443849
119, 162, -3, -0.86602540378443849
119, 277, -3, -0.86602540378443849
119, 284, -3, -0.86602540378443849
202, 336, -3, -0.86602540378443849
94, 172, -3, -0.86602540378443837
203, 392, -3, -0.86602540378443837
45, 131, -2, -0.86554621848739499
72, 230, -2, -0.86373129272462157
4, 281, 3, -0.86258194917794306
94, 104, -3, -0.86072856263550679
173, 196, -3, -0.86072856263550668
96, 271, 3, -0.86072856263550657
256, 352, 0, -0.86001316356753188
187, 196, 1, -0.85983772890226873
114, 343, 1, -0.85951770521566129
137, 237, 1, -0.85933784884731945
122, 158, 1, -0.85933784884731934
138, 237, 1, -0.85933784884731934
138, 261, 1, -0.85933784884731934
158, 242, -1, -0.85933784884731934
186, 237, 1, -0.85933784884731934
186, 261, 1, -0.85933784884731934
139, 226, 1, -0.85933784884731923
285, 377, 3, -0.8583950752789522
91, 242, -2, -0.85811633032103307
4, 65, 1, -0.85758916951735642
68, 295, 1, -0.85745257595247126
70, 196, 0, -0.85644762716179323
196, 259, 0, -0.85644762716179323
196, 270, 0, -0.85644762716179323
44, 55, -2, -0.8563488385776753
55, 86, 2, -0.8563488385776753
55, 164, 2, -0.8563488385776753
55, 170, 2, -0.8563488385776753
55, 350, -2, -0.8563488385776753
66, 202, 2, -0.8563488385776753
122, 158, 2, -0.8563488385776753
122, 237, 2, -0.8563488385776753
226, 258, -2, -0.8563488385776753
46, 104, -3, -0.85565346790792418
114, 271, 3, -0.85565346790792418
17, 262, 3, -0.8551861104941364
162, 262, 3, -0.8551861104941364
262, 277, -3, -0.8551861104941364
262, 284, -3, -0.8551861104941364
202, 343, -3, -0.85518611049413629
65, 68, -3, -0.85349181358819659
68, 114, 3, -0.85349181358819659
20, 225, -3, -0.85349181358819648
91, 122, -3, -0.85349181358819648
91, 242, -3, -0.85349181358819648
203, 225, 3, -0.85349181358819648
242, 305, 3, -0.85349181358819637
55, 260, -1, -0.85305663804089094
216, 230, -2, -0.85302964454237173
40, 314, 3, -0.85280286542244188
73, 75, 3, -0.85280286542244188
5, 242, -3, -0.85280286542244177
89, 242, -3, -0.85280286542244177
122, 126, 3, -0.85280286542244166
46, 205, 2, -0.85120555578755053
51, 230, 2, -0.85120555578755053
38, 188, -2, -0.85097998182386325
38, 280, 2, -0.85097998182386325
128, 387, 2, -0.85018797556030856
81, 230, 3, -0.84983658559879749
88, 230, 3, -0.84983658559879749
198, 230, 3, -0.84983658559879749
225, 230, 3, -0.84920777560844674
94, 263, -2, -0.84902948348675578
44, 102, -3, -0.84841071846011418
86, 102, -3, -0.84841071846011418
102, 164, 3, -0.84841071846011418
102, 170, 3, -0.84841071846011418
102, 341, 3, -0.84841071846011407
242, 317, 1, -0.84816921993257066
65, 68, -2, -0.84772352250228056
64, 196, -2, -0.84761904761904761
173, 357, 1, -0.84746331488794391
4, 22, -2, -0.84615384615384615
22, 251, 0, -0.84548890303097102
12, 146, -2, -0.84515425472851657
22, 146, -2, -0.84515425472851657
146, 155, 2, -0.84515425472851657
146, 186, 2, -0.84515425472851657
68, 271, -3, -0.84392493879822106
216, 271, -3, -0.84392493879822106
122, 317, 2, -0.84389164591661103
242, 376, 2, -0.84389164591661103
171, 293, 1, -0.84350429365498025
12, 146, -1, -0.84350429365498014
22, 251, -1, -0.84350429365498014
186, 251, -1, -0.84350429365498014
144, 167, -2, -0.84327404271156781
237, 281, 2, -0.84327404271156781
40, 352, -3, -0.84270670118478874
45, 392, 3, -0.84270670118478863
38, 188, -3, -0.84270670118478852
38, 65, -3, -0.8427067011847883
50, 226, 2, -0.84270097160038437
158, 285, -2, -0.84270097160038437
226, 321, 2, -0.84270097160038437
237, 285, -2, -0.84270097160038437
248, 363, 2, -0.84270097160038437
51, 271, 1, -0.84162541153017312
163, 271, 1, -0.84162541153017312
177, 203, 1, -0.84162541153017312
22, 42, 2, -0.84120946428685439
26, 368, 2, -0.84120946428685439
122, 251, -2, -0.84120946428685439
188, 216, -3, -0.84119102419206004
216, 281, 3, -0.84119102419206004
94, 229, -3, -0.84067280747670747
102, 227, 3, -0.84051051488723683
248, 306, 1, -0.84049772202078854
32, 146, 0, -0.83996244722706359
94, 215, -2, -0.83927406273573846
113, 187, 2, -0.83927406273573846
192, 364, 2, -0.83927406273573846
46, 205, 1, -0.83916498833836839
277, 343, -1, -0.83916498833836839
126, 285, -3, -0.83888841107370538
138, 317, 3, -0.83888841107370538
186, 317, 3, -0.83888841107370538
122, 376, 3, -0.83874213682932564
262, 286, -1, -0.83867818138741934
338, 347, -3, -0.83852549156242129
12, 42, 3, -0.83852549156242107
42, 118, -3, -0.83852549156242107
42, 226, -3, -0.83852549156242107
267, 365, -3, -0.83852549156242107
68, 193, 2, -0.83847308863192205
22, 250, 2, -0.83833548175639938
14, 203, -1, -0.83770781658339077
27, 203, -1, -0.83770781658339077
135, 203, -1, -0.83770781658339077
203, 220, 1, -0.83770781658339077
229, 329, 3, -0.83761059683861405
188, 216, -2, -0.83724122107262777
285, 378, 3, -0.83712137756253768
188, 343, 1, -0.83684165250528797
46, 131, 1, -0.83674302440408133
12, 129, 0, -0.83666002653407534
12, 132, 0, -0.83666002653407534
12, 330, 0, -0.83666002653407534
129, 186, 0, -0.83666002653407534
132, 186, 0, -0.83666002653407534
186, 330, 0, -0.83666002653407534
38, 104, -3, -0.83646420715893599
54, 216, 0, -0.83631451339667606
216, 234, 0, -0.83631451339667606
312, 338, 3, -0.83562902179673326
54, 216, 1, -0.83482453643475241
216, 234, -1, -0.83482453643475241
12, 139, -1, -0.83452296039628027
22, 158, 1, -0.83452296039628027
122, 129, -1, -0.83452296039628004
122, 132, -1, -0.83452296039628004
122, 330, -1, -0.83452296039628004
129, 138, 1, -0.83452296039628004
132, 138, 1, -0.83452296039628004
138, 330, -1, -0.83452296039628004
131, 271, 0, -0.83396538377361018
68, 230, -2, -0.83368786784557913
109, 291, -3, -0.83349161771299707
130, 291, -3, -0.83349161771299707
249, 291, -3, -0.83349161771299707
70, 113, -3, -0.83333333333333348
113, 259, 3, -0.83333333333333348
113, 270, 3, -0.83333333333333348
55, 364, -3, -0.83333333333333337
104, 237, -3, -0.83333333333333337
104, 261, -3, -0.83333333333333337
215, 352, -2, -0.83333333333333337
21, 196, -2, -0.83261014677839773
64, 196, -1, -0.83256492991189646
104, 333, 1, -0.83256492991189646
196, 208, 1, -0.83256492991189646
21, 367, 2, -0.83215481013957959
33, 203, 0, -0.83205029433784372
203, 214, 0, -0.83205029433784372
203, 224, 0, -0.83205029433784372
4, 138, -2, -0.83205029433784361
4, 186, -2, -0.83205029433784361
12, 158, 2, -0.83205029433784361
12, 237, 2, -0.83205029433784361
12, 261, 2, -0.83205029433784361
22, 158, 2, -0.83205029433784361
22, 237, 2, -0.83205029433784361
26, 109, 2, -0.83205029433784361
